nohup: ignoring input
sync 1940 blocks, loaded 47.0%, ftell 17231449356, speed 11.0s/block
sync 1950 blocks, loaded 47.0%, ftell 17320392846, speed 11.0s/block
sync 1960 blocks, loaded 48.0%, ftell 17415165359, speed 11.0s/block
sync 1970 blocks, loaded 48.0%, ftell 17505169194, speed 11.0s/block
sync 1980 blocks, loaded 48.0%, ftell 17595003897, speed 11.0s/block
sync 1990 blocks, loaded 48.0%, ftell 17689955036, speed 11.0s/block
sync 2000 blocks, loaded 49.0%, ftell 17779793047, speed 11.0s/block
sync 2010 blocks, loaded 49.0%, ftell 17869430112, speed 11.0s/block
sync 2020 blocks, loaded 49.0%, ftell 17958900443, speed 11.0s/block
sync 2030 blocks, loaded 49.0%, ftell 18053119176, speed 11.0s/block
sync 2040 blocks, loaded 50.0%, ftell 18142691706, speed 11.0s/block
sync 2050 blocks, loaded 50.0%, ftell 18232672342, speed 11.0s/block
sync 2060 blocks, loaded 50.0%, ftell 18327227760, speed 11.0s/block
sync 2070 blocks, loaded 50.0%, ftell 18416445576, speed 11.0s/block
sync 2080 blocks, loaded 51.0%, ftell 18506861539, speed 11.0s/block
sync 2090 blocks, loaded 51.0%, ftell 18595425508, speed 11.0s/block
sync 2100 blocks, loaded 51.0%, ftell 18690936527, speed 11.0s/block
sync 2110 blocks, loaded 51.0%, ftell 18781162748, speed 11.0s/block
sync 2120 blocks, loaded 52.0%, ftell 18870800610, speed 11.0s/block
sync 2130 blocks, loaded 52.0%, ftell 18966783940, speed 11.0s/block
sync 2140 blocks, loaded 52.0%, ftell 19056143780, speed 11.0s/block
sync 2150 blocks, loaded 52.0%, ftell 19146554093, speed 11.0s/block
sync 2160 blocks, loaded 53.0%, ftell 19235598568, speed 11.0s/block
sync 2170 blocks, loaded 53.0%, ftell 19331237121, speed 11.0s/block
sync 2180 blocks, loaded 53.0%, ftell 19421455637, speed 11.0s/block
sync 2190 blocks, loaded 53.0%, ftell 19511185220, speed 11.0s/block
sync 2200 blocks, loaded 54.0%, ftell 19607222292, speed 11.0s/block
sync 2210 blocks, loaded 54.0%, ftell 19697045778, speed 11.0s/block
sync 2220 blocks, loaded 54.0%, ftell 19787336954, speed 11.0s/block
sync 2230 blocks, loaded 54.0%, ftell 19876731916, speed 11.0s/block
sync 2240 blocks, loaded 55.0%, ftell 19972989703, speed 11.0s/block
sync 2250 blocks, loaded 55.0%, ftell 20063215924, speed 11.0s/block
sync 2260 blocks, loaded 55.0%, ftell 20153109989, speed 11.0s/block
sync 2270 blocks, loaded 56.0%, ftell 20248992280, speed 11.0s/block
sync 2280 blocks, loaded 56.0%, ftell 20338796423, speed 11.0s/block
sync 2290 blocks, loaded 56.0%, ftell 20429157500, speed 11.0s/block
sync 2300 blocks, loaded 56.0%, ftell 20518539415, speed 11.0s/block
sync 2310 blocks, loaded 57.0%, ftell 20614403940, speed 11.0s/block
sync 2320 blocks, loaded 57.0%, ftell 20704707908, speed 11.0s/block
sync 2330 blocks, loaded 57.0%, ftell 20794684063, speed 11.0s/block
sync 2340 blocks, loaded 57.0%, ftell 20890524678, speed 11.0s/block
sync 2350 blocks, loaded 58.0%, ftell 20980191456, speed 11.0s/block
sync 2360 blocks, loaded 58.0%, ftell 21070789914, speed 11.0s/block
sync 2370 blocks, loaded 58.0%, ftell 21159663100, speed 11.0s/block
sync 2380 blocks, loaded 58.0%, ftell 21254759707, speed 11.0s/block
sync 2390 blocks, loaded 59.0%, ftell 21345010092, speed 11.0s/block
sync 2400 blocks, loaded 59.0%, ftell 21435413675, speed 11.0s/block
sync 2410 blocks, loaded 59.0%, ftell 21530372672, speed 11.0s/block
sync 2420 blocks, loaded 59.0%, ftell 21619277260, speed 11.0s/block
sync 2430 blocks, loaded 60.0%, ftell 21709832167, speed 11.0s/block
sync 2440 blocks, loaded 60.0%, ftell 21799284157, speed 11.0s/block
sync 2450 blocks, loaded 60.0%, ftell 21893735443, speed 11.0s/block
sync 2460 blocks, loaded 60.0%, ftell 21983290931, speed 11.0s/block
sync 2470 blocks, loaded 61.0%, ftell 22073537894, speed 11.0s/block
sync 2480 blocks, loaded 61.0%, ftell 22168087222, speed 11.0s/block
sync 2490 blocks, loaded 61.0%, ftell 22256994932, speed 11.0s/block
sync 2500 blocks, loaded 61.0%, ftell 22347407795, speed 11.0s/block
sync 2510 blocks, loaded 62.0%, ftell 22436409401, speed 11.0s/block
sync 2520 blocks, loaded 62.0%, ftell 22531158528, speed 11.0s/block
sync 2530 blocks, loaded 62.0%, ftell 22620866820, speed 11.0s/block
sync 2540 blocks, loaded 62.0%, ftell 22710911757, speed 11.0s/block
sync 2550 blocks, loaded 63.0%, ftell 22805581868, speed 11.0s/block
sync 2560 blocks, loaded 63.0%, ftell 22894670223, speed 11.0s/block
sync 2570 blocks, loaded 63.0%, ftell 22985063629, speed 11.0s/block
sync 2580 blocks, loaded 63.0%, ftell 23074001721, speed 11.0s/block
sync 2590 blocks, loaded 64.0%, ftell 23168886713, speed 11.0s/block
sync 2600 blocks, loaded 64.0%, ftell 23259006665, speed 11.0s/block
sync 2610 blocks, loaded 64.0%, ftell 23349316093, speed 11.0s/block
sync 2620 blocks, loaded 64.0%, ftell 23444357157, speed 11.0s/block
sync 2630 blocks, loaded 65.0%, ftell 23533622574, speed 11.0s/block
sync 2640 blocks, loaded 65.0%, ftell 23624044701, speed 11.0s/block
sync 2650 blocks, loaded 65.0%, ftell 23714048147, speed 11.0s/block
sync 2660 blocks, loaded 65.0%, ftell 23809521922, speed 11.0s/block
sync 2670 blocks, loaded 66.0%, ftell 23899946497, speed 11.0s/block
sync 2680 blocks, loaded 66.0%, ftell 23990598200, speed 11.0s/block
sync 2690 blocks, loaded 66.0%, ftell 24085836941, speed 11.0s/block
sync 2700 blocks, loaded 66.0%, ftell 24175814406, speed 11.0s/block
sync 2710 blocks, loaded 67.0%, ftell 24266189216, speed 11.0s/block
sync 2720 blocks, loaded 67.0%, ftell 24355696873, speed 11.0s/block
sync 2730 blocks, loaded 67.0%, ftell 24450845269, speed 11.0s/block
sync 2740 blocks, loaded 67.0%, ftell 24541515886, speed 11.0s/block
sync 2750 blocks, loaded 68.0%, ftell 24631873033, speed 11.0s/block
sync 2760 blocks, loaded 68.0%, ftell 24727549531, speed 11.0s/block
sync 2770 blocks, loaded 68.0%, ftell 24817315069, speed 11.0s/block
sync 2780 blocks, loaded 68.0%, ftell 24908027074, speed 11.0s/block
sync 2790 blocks, loaded 69.0%, ftell 24997799882, speed 11.0s/block
sync 2800 blocks, loaded 69.0%, ftell 25092844929, speed 11.0s/block
sync 2810 blocks, loaded 69.0%, ftell 25183350022, speed 11.0s/block
sync 2820 blocks, loaded 69.0%, ftell 25274068088, speed 11.0s/block
sync 2830 blocks, loaded 70.0%, ftell 25368824528, speed 11.0s/block
sync 2840 blocks, loaded 70.0%, ftell 25458403262, speed 11.0s/block
sync 2850 blocks, loaded 70.0%, ftell 25549070755, speed 11.0s/block
sync 2860 blocks, loaded 70.0%, ftell 25639045510, speed 11.0s/block
sync 2870 blocks, loaded 71.0%, ftell 25733497944, speed 11.0s/block
sync 2880 blocks, loaded 71.0%, ftell 25823722556, speed 11.0s/block
sync 2890 blocks, loaded 71.0%, ftell 25914602390, speed 11.0s/block
sync 2900 blocks, loaded 71.0%, ftell 26009304469, speed 11.0s/block
sync 2910 blocks, loaded 72.0%, ftell 26098705293, speed 11.0s/block
sync 2920 blocks, loaded 72.0%, ftell 26189384395, speed 11.0s/block
sync 2930 blocks, loaded 72.0%, ftell 26279370391, speed 11.0s/block
sync 2940 blocks, loaded 72.0%, ftell 26373735528, speed 11.0s/block
sync 2950 blocks, loaded 73.0%, ftell 26463908980, speed 11.0s/block
sync 2960 blocks, loaded 73.0%, ftell 26554601996, speed 11.0s/block
sync 2970 blocks, loaded 73.0%, ftell 26649642283, speed 11.0s/block
sync 2980 blocks, loaded 73.0%, ftell 26738682963, speed 11.0s/block
sync 2990 blocks, loaded 74.0%, ftell 26829241526, speed 11.0s/block
sync 3000 blocks, loaded 74.0%, ftell 26918864043, speed 11.0s/block
sync 3010 blocks, loaded 74.0%, ftell 27013266582, speed 11.0s/block
sync 3020 blocks, loaded 74.0%, ftell 27103477118, speed 11.0s/block
